name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
Keegan Thompson,Chicago,Cubs,NL Central,2,1,2.67,24,0,0,0,0,2,2,0,30.1,127,19,12,9,3,18,0,0,0,0,36
Kris Bubic,Kansas City,Royals,AL Central,1,1,2.67,27,0,0,0,0,1,7,3,30.1,121,26,12,9,2,5,3,0,1,0,39
Clayton Kershaw,Los Angeles,Dodgers,NL West,2,2,4.5,7,7,1,0,0,0,0,0,30,133,36,19,15,2,9,1,2,2,1,24
Yonny Chirinos,Miami,Marlins,NL East,0,2,6.3,6,6,0,0,0,0,0,0,30,144,43,21,21,7,13,0,3,1,0,25
Tony Santillan,Cincinnati,Reds,NL Central,3,3,3,29,1,0,0,0,0,4,2,30,122,21,11,10,4,9,0,0,1,0,46
Carlos Hernández,Kansas City,Royals,AL Central,0,1,3.3,27,0,0,0,0,0,1,1,30,129,24,14,11,1,16,0,1,1,0,27
Danny Coulombe,Baltimore,Orioles,AL East,1,0,2.12,33,0,0,0,0,1,13,1,29.2,107,15,7,7,3,5,0,0,2,0,32
George Soriano,Miami,Marlins,NL East,1,1,6.75,22,0,0,0,0,1,2,3,29.1,131,27,23,22,7,13,0,4,3,0,29
Brenan Hanifee,Detroit,Tigers,AL Central,1,1,1.84,21,3,0,0,0,0,7,1,29.1,120,27,7,6,2,6,0,0,0,0,23
Drew Rasmussen,Tampa Bay,Rays,AL East,0,2,2.83,16,4,0,0,0,1,3,0,28.2,116,25,10,9,0,6,0,0,1,0,35
Aaron Ashby,Milwaukee,Brewers,NL Central,1,2,2.86,14,2,0,0,0,0,3,0,28.1,119,20,13,9,2,10,0,0,1,0,33
Yilber Díaz,Arizona,Diamondbacks,NL West,1,1,3.81,7,4,2,0,0,0,0,0,28.1,119,27,13,12,3,12,0,0,1,0,19
Robert Gasser,Milwaukee,Brewers,NL Central,2,0,2.57,5,5,2,0,0,0,0,0,28,114,28,9,8,2,1,0,3,0,0,16
Logan Allen,Arizona,Diamondbacks,NL West,0,1,5.46,12,0,0,0,0,1,1,0,28,128,32,17,17,3,10,0,2,0,0,21
Ryan Brasier,Los Angeles,Dodgers,NL West,1,0,3.54,29,4,0,0,0,0,6,2,28,110,22,12,11,3,5,0,0,1,0,25
Eduard Bazardo,Seattle,Mariners,AL West,2,0,4.88,23,0,0,0,0,0,0,0,27.2,108,20,15,15,2,9,0,0,3,0,33
Matt Manning,Detroit,Tigers,AL Central,0,1,4.88,5,5,0,0,0,0,0,0,27.2,123,31,15,15,3,12,0,0,1,0,23
Bryan Sammons,Detroit,Tigers,AL Central,1,1,3.62,6,0,0,0,0,0,0,0,27.1,104,16,11,11,6,9,0,1,0,0,18
Kolby Allard,Philadelphia,Phillies,NL East,2,0,5,7,4,0,0,0,0,0,0,27,117,34,15,15,5,8,0,0,0,0,23
Aaron Brooks,Sacramento,Athletics,AL West,0,2,5.06,5,4,2,0,0,0,0,0,26.2,119,33,19,15,4,8,0,1,0,0,12
Ethan Roberts,Chicago,Cubs,NL Central,1,1,3.71,21,0,0,0,0,0,1,0,26.2,118,31,11,11,3,10,0,1,1,0,26
Grant Anderson,Texas,Rangers,AL West,0,1,8.1,23,0,0,0,0,1,1,1,26.2,120,33,24,24,11,10,3,1,0,0,29
Chris Devenski,Tampa Bay,Rays,AL East,2,1,6.75,19,0,0,0,0,0,0,2,26.2,122,28,25,20,9,14,0,0,1,0,24
Bryan King,Houston,Astros,AL West,1,0,2.39,28,0,0,0,0,0,0,0,26.1,109,20,7,7,1,10,0,3,0,0,32
Gerson Garabito,Texas,Rangers,AL West,0,2,4.78,18,2,0,0,0,0,0,1,26.1,115,23,15,14,4,12,0,4,1,0,22
Jay Jackson,Minnesota,Twins,AL Central,1,2,7.52,20,0,0,0,0,0,1,0,26.1,114,28,24,22,7,9,0,0,0,0,29
Luke Little,Chicago,Cubs,NL Central,3,1,3.46,30,1,0,0,0,0,3,0,26,109,15,11,10,1,18,1,4,3,0,28
Yunior Marte,Philadelphia,Phillies,NL East,0,0,6.92,23,0,0,0,0,0,2,1,26,127,34,22,20,5,15,0,0,3,0,23
Dany Jiménez,Sacramento,Athletics,AL West,1,3,4.91,25,0,0,0,0,1,5,2,25.2,117,21,18,14,6,19,0,1,0,0,25
Hans Crouse,"""Los Angeles""",Angels,AL West,4,3,2.84,25,0,0,0,0,0,1,1,25.1,107,14,10,8,2,17,1,2,1,0,34
J.P. France,Houston,Astros,AL West,0,3,7.46,5,5,0,0,0,0,0,0,25.1,121,31,21,21,5,12,0,1,3,1,22
Logan Gilbert,Seattle,Mariners,AL West,9,12,3.23,33,33,22,1,0,0,0,0,208.2,803,148,83,75,26,37,1,4,11,0,220
Seth Lugo,Kansas City,Royals,AL Central,16,9,3,33,33,22,1,0,0,0,0,206.2,836,177,75,69,16,48,1,9,4,0,181
Logan Webb,San Francisco,Giants,NL West,13,10,3.47,33,33,20,1,1,0,0,0,204.2,841,202,83,79,11,50,3,2,4,1,172
Zack Wheeler,Philadelphia,Phillies,NL East,16,7,2.57,32,32,26,0,0,0,0,0,200,787,139,62,57,20,52,0,8,8,0,224
Aaron Nola,Philadelphia,Phillies,NL East,14,8,3.57,33,33,20,1,1,0,0,0,199.1,820,189,84,79,30,50,0,3,2,0,197
Corbin Burnes,Baltimore,Orioles,AL East,15,9,2.92,32,32,22,0,0,0,0,0,194.1,784,165,76,63,22,48,0,2,7,3,181
José Berríos,Toronto,Blue Jays,AL East,16,11,3.6,32,32,21,1,0,0,0,0,192.1,786,168,79,77,31,54,1,13,1,0,153
Tarik Skubal,Detroit,Tigers,AL Central,18,4,2.39,31,31,22,0,0,0,0,0,192,753,142,54,51,15,35,0,9,2,0,228
George Kirby,Seattle,Mariners,AL West,14,11,3.53,33,33,20,0,0,0,0,0,191,778,181,82,75,22,23,0,7,5,1,179
Dylan Cease,San Diego,Padres,NL West,14,11,3.47,33,33,16,1,1,0,0,0,189.1,762,137,80,73,18,65,0,2,12,0,224
Jake Irvin,Washington,Nationals,NL East,10,14,4.41,33,33,16,0,0,0,0,0,187.2,769,173,97,92,29,52,1,4,5,1,156
Cole Ragans,Kansas City,Royals,AL Central,11,9,3.14,32,32,21,1,0,0,0,0,186.1,762,146,71,65,15,67,1,6,11,0,223
Pablo López,Minnesota,Twins,AL Central,15,10,4.08,32,32,18,0,0,0,0,0,185.1,772,180,90,84,26,41,0,8,3,0,198
Kutter Crawford,Boston,Red Sox,AL East,9,16,4.36,33,33,15,0,0,0,0,0,183.2,759,155,97,89,34,51,0,9,4,0,175
Luis Severino,New York,Mets,NL East,11,7,3.91,31,31,14,1,1,0,0,0,182,761,166,86,79,23,60,0,11,6,2,161
Brandon Pfaadt,Arizona,Diamondbacks,NL West,11,10,4.71,32,32,13,0,0,0,0,0,181.2,760,183,103,95,24,42,1,4,1,0,185
Sean Manaea,New York,Mets,NL East,12,6,3.47,32,32,15,0,0,0,0,0,181.2,738,134,75,70,21,63,0,9,4,0,184
Cristopher Sánchez,Philadelphia,Phillies,NL East,11,9,3.32,31,31,17,2,1,0,0,0,181.2,754,182,76,67,11,44,0,0,7,1,153
Kevin Gausman,Toronto,Blue Jays,AL East,14,11,3.83,31,31,16,2,1,0,0,0,181,756,165,86,77,20,56,0,2,3,2,162
JP Sears,Sacramento,Athletics,AL West,11,13,4.38,32,32,13,0,0,0,0,0,180.2,758,172,93,88,28,49,0,14,0,1,137
Bryce Miller,Seattle,Mariners,AL West,12,8,2.94,31,31,18,0,0,0,0,0,180.1,704,131,62,59,21,45,1,3,2,0,171
Brady Singer,Kansas City,Royals,AL Central,9,13,3.71,32,32,13,0,0,0,0,0,179.2,762,175,77,74,22,54,0,10,2,0,170
Tyler Anderson,"""Los Angeles""",Angels,AL West,10,15,3.81,31,31,12,0,0,0,0,0,179.1,765,158,83,76,24,73,2,7,3,1,142
Tanner Houck,Boston,Red Sox,AL East,9,10,3.12,30,30,19,1,1,0,0,0,178.2,743,156,75,62,11,48,1,16,2,0,154
Bailey Ober,Minnesota,Twins,AL Central,12,9,3.98,31,31,18,1,0,0,0,0,178.2,709,136,81,79,27,43,0,6,1,0,191
Mitch Keller,Pittsburgh,Pirates,NL Central,11,12,4.25,31,31,15,1,0,0,0,0,178,773,182,90,84,23,50,0,15,1,2,166
Chris Sale,Atlanta,Braves,NL East,18,3,2.38,29,29,18,0,0,0,0,0,177.2,702,141,48,47,9,39,0,8,4,1,225
Framber Valdez,Houston,Astros,AL West,15,7,2.91,28,28,17,1,0,0,0,0,176.1,703,140,60,57,13,55,0,6,8,1,169
