name,location,team,division,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Josh Jung,Texas,Rangers,AL West,46,178,188,47,34,5,1,7,19,16,8,0,48,1,1,0,1,4,0,0.264
Garrett Stubbs,Philadelphia,Phillies,NL East,56,164,187,34,28,4,1,1,18,11,17,0,50,4,1,0,0,5,0,0.207
Lane Thomas,Cleveland,Guardians,AL Central,53,172,187,36,19,10,0,7,23,23,12,1,65,2,1,0,1,4,2,0.209
Daz Cameron,Sacramento,Athletics,AL West,66,170,186,34,23,5,1,5,22,15,13,0,51,1,2,0,3,5,0,0.2
Matt Thaiss,"""Los Angeles""",Angels,AL West,57,157,186,32,21,9,0,2,14,16,28,0,58,0,1,0,2,3,0,0.204
Blaze Alexander,Arizona,Diamondbacks,NL West,61,166,185,41,31,7,0,3,19,21,15,0,49,3,0,1,1,3,1,0.247
Brooks Lee,Minnesota,Twins,AL Central,50,172,185,38,28,6,1,3,9,27,11,2,27,0,2,0,6,3,0,0.221
Jordan Beck,Colorado,Rockies,NL West,55,170,184,32,23,6,0,3,14,13,12,1,65,1,1,0,3,7,1,0.188
Jorge Soler,Atlanta,Braves,NL East,49,152,182,37,17,11,0,9,27,24,24,0,44,3,1,0,0,0,0,0.243
Alex Kirilloff,Minnesota,Twins,AL Central,57,159,178,32,16,8,3,5,20,20,15,0,47,1,3,0,5,0,0,0.201
Jordan Walker,St. Louis,Cardinals,NL Central,51,164,178,33,17,10,1,5,16,20,10,0,50,2,2,0,4,1,0,0.201
Ben Rice,New York,Yankees,AL East,50,152,178,26,13,6,0,7,20,23,20,0,48,1,5,0,2,0,1,0.171
Junior Caminero,Tampa Bay,Rays,AL East,43,165,177,41,25,9,1,6,15,18,11,2,38,1,0,0,2,2,0,0.248
Austin Hays,Baltimore,Orioles,AL East,63,157,175,40,24,13,0,3,18,14,9,1,40,6,2,1,1,0,1,0.255
Patrick Wisdom,Chicago,Cubs,NL Central,75,158,174,27,10,7,2,8,16,23,10,0,59,4,1,1,1,5,0,0.171
Whit Merrifield,Philadelphia,Phillies,NL East,53,156,174,31,23,4,1,3,21,11,15,0,19,2,0,1,2,11,1,0.199
