name,location,team,division,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Jarren Duran,Boston,Red Sox,AL East,160,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,6,34,7,0.285
Shohei Ohtani,Los Angeles,Dodgers,NL West,159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.31
Gunnar Henderson,Baltimore,Orioles,AL East,159,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,2,21,4,0.281
Marcus Semien,Texas,Rangers,AL West,159,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,9,8,3,0.237
Juan Soto,New York,Yankees,AL East,157,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,10,7,4,0.288
Bobby Witt Jr.,Kansas City,Royals,AL Central,161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.332
Aaron Judge,New York,Yankees,AL East,158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322
Vladimir Guerrero Jr.,Toronto,Blue Jays,AL East,159,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,16,2,2,0.323
Elly De La Cruz,Cincinnati,Reds,NL Central,160,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,12,67,16,0.259
Pete Alonso,New York,Mets,NL East,162,608,695,146,81,31,0,34,91,88,70,4,172,13,4,0,14,3,0,0.24
Ezequiel Tovar,Colorado,Rockies,NL West,157,655,695,176,101,45,4,26,83,78,23,1,200,4,7,5,16,6,5,0.269
Bryan Reynolds,Pittsburgh,Pirates,NL Central,156,622,692,171,115,29,3,24,73,88,57,3,156,10,3,0,7,10,2,0.275
Kyle Schwarber,Philadelphia,Phillies,NL East,150,573,692,142,82,22,0,38,110,104,106,4,197,5,8,0,6,5,3,0.248
Anthony Volpe,New York,Yankees,AL East,160,637,689,155,109,27,7,12,90,60,42,1,156,4,3,2,9,28,7,0.243
Francisco Lindor,New York,Mets,NL East,152,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,7,29,4,0.273
Marcell Ozuna,Atlanta,Braves,NL East,162,606,688,183,113,31,0,39,96,104,74,2,170,3,4,0,23,1,0,0.302
Willy Adames,Milwaukee,Brewers,NL Central,161,610,688,153,88,33,0,32,93,112,74,3,173,1,3,0,12,21,4,0.251
Matt Olson,Atlanta,Braves,NL East,162,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,15,0,0,0.247
Corbin Carroll,Arizona,Diamondbacks,NL West,158,589,684,136,78,22,14,22,121,74,73,0,130,10,9,3,3,35,8,0.231
José Ramírez,Cleveland,Guardians,AL Central,158,620,682,173,93,39,2,39,114,118,54,12,82,1,6,0,9,41,7,0.279
Jose Altuve,Houston,Astros,AL West,153,628,682,185,134,31,0,20,94,65,47,2,119,7,0,0,15,22,7,0.295
William Contreras,Milwaukee,Brewers,NL Central,155,595,679,167,105,37,2,23,99,92,78,5,139,3,3,0,19,9,2,0.281
Jurickson Profar,San Diego,Padres,NL West,158,564,668,158,105,29,0,24,94,85,76,4,101,18,5,5,14,10,3,0.28
Anthony Santander,Baltimore,Orioles,AL East,155,595,665,140,69,25,2,44,91,102,58,3,129,7,5,0,9,2,0,0.235
Gleyber Torres,New York,Yankees,AL East,154,587,665,151,110,26,0,15,80,63,65,0,136,3,8,2,6,4,3,0.257
Taylor Ward,"""Los Angeles""",Angels,AL West,156,585,663,144,91,26,2,25,73,75,63,0,163,7,8,0,11,6,4,0.246
Brandon Nimmo,New York,Mets,NL East,151,571,663,128,77,25,3,23,88,90,77,1,158,12,3,0,7,15,0,0.224
Nick Castellanos,Philadelphia,Phillies,NL East,162,606,659,154,97,30,4,23,80,86,41,2,139,10,2,0,14,6,2,0.254
Ian Happ,Chicago,Cubs,NL Central,153,569,657,138,77,34,2,25,89,86,80,1,168,6,2,0,7,13,2,0.243
Spencer Steer,Cincinnati,Reds,NL Central,158,574,656,129,71,34,4,20,74,92,72,1,137,8,2,0,5,25,3,0.225
Jake Cronenworth,San Diego,Padres,NL West,155,577,656,139,90,29,3,17,72,83,61,0,118,11,3,1,19,5,2,0.241
Paul Goldschmidt,St. Louis,Cardinals,NL Central,154,599,654,147,91,33,1,22,70,65,47,2,173,2,2,0,20,11,0,0.245
Salvador Perez,Kansas City,Royals,AL Central,158,590,652,160,105,28,0,27,58,104,44,9,129,11,6,0,17,0,0,0.271
Teoscar Hernández,Los Angeles,Dodgers,NL West,154,589,652,160,93,32,2,33,84,99,53,3,188,8,1,0,7,12,3,0.272
Brendan Donovan,St. Louis,Cardinals,NL Central,153,587,652,163,112,34,3,14,65,73,47,0,81,13,5,0,4,5,5,0.278
Jeremy Peña,Houston,Astros,AL West,157,602,650,160,115,28,2,15,78,70,25,1,111,14,6,3,15,20,6,0.266
Matt Chapman,San Francisco,Giants,NL West,154,575,647,142,74,39,2,27,98,78,64,3,158,6,2,0,13,15,2,0.247
Ryan McMahon,Colorado,Rockies,NL West,153,567,645,137,89,28,0,20,68,65,69,4,185,3,4,0,9,4,6,0.242
Manny Machado,San Diego,Padres,NL West,152,593,643,163,104,30,0,29,77,105,45,6,124,1,4,0,25,11,2,0.275
JJ Bleday,Sacramento,Athletics,AL West,159,572,642,139,72,43,4,20,74,60,67,2,125,2,0,1,8,2,3,0.243
Nico Hoerner,Chicago,Cubs,NL Central,151,582,641,159,116,35,1,7,86,48,44,1,66,12,3,0,8,31,6,0.273
Eugenio Suárez,Arizona,Diamondbacks,NL West,158,571,640,146,86,28,2,30,90,101,49,0,176,9,11,0,10,2,1,0.256
Adley Rutschman,Baltimore,Orioles,AL East,148,571,638,143,102,21,1,19,68,79,58,3,103,2,7,0,9,1,0,0.25
Freddie Freeman,Los Angeles,Dodgers,NL West,147,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,13,9,2,0.282
Adolis García,Texas,Rangers,AL West,154,580,637,130,78,27,0,25,68,85,45,2,177,6,6,0,12,11,5,0.224
Jonathan India,Cincinnati,Reds,NL Central,151,533,637,132,87,28,2,15,84,58,80,0,125,15,7,2,16,13,2,0.248
Masyn Winn,St. Louis,Cardinals,NL Central,150,587,637,157,105,32,5,15,85,57,41,1,109,1,5,3,1,11,5,0.267
Willi Castro,Minnesota,Twins,AL Central,158,558,635,138,90,31,5,12,89,60,51,0,150,21,4,1,8,14,9,0.247
Nolan Arenado,St. Louis,Cardinals,NL Central,152,578,635,157,118,23,0,16,70,71,44,2,92,5,7,0,15,2,2,0.272
Yordan Alvarez,Houston,Astros,AL West,147,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,14,6,0,0.308
Alex Bregman,Houston,Astros,AL West,145,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,13,3,1,0.26
Andrés Giménez,Cleveland,Guardians,AL Central,152,583,633,147,115,22,1,9,64,63,26,1,97,15,6,3,11,30,5,0.252
Josh Naylor,Cleveland,Guardians,AL Central,152,563,633,137,79,27,0,31,84,108,58,7,105,7,4,0,17,6,2,0.243
Bryce Harper,Philadelphia,Phillies,NL East,145,550,631,157,85,42,0,30,85,87,76,11,138,2,2,1,18,7,4,0.285
Cal Raleigh,Seattle,Mariners,AL West,153,546,628,120,70,16,0,34,73,100,70,4,176,6,6,0,7,6,1,0.22
Maikel Garcia,Kansas City,Royals,AL Central,157,575,626,133,94,27,5,7,84,58,42,0,103,0,5,4,7,37,2,0.231
Alex Verdugo,New York,Yankees,AL East,149,559,621,130,88,28,1,13,74,61,49,0,93,1,10,2,14,2,1,0.233
Yandy Díaz,Tampa Bay,Rays,AL East,145,563,621,158,112,31,1,14,55,65,50,0,95,4,4,0,12,0,0,0.281
Brice Turang,Milwaukee,Brewers,NL Central,155,559,619,142,107,24,4,7,72,57,50,1,105,2,3,5,8,50,6,0.254
Andrew Vaughn,Chicago,White Sox,AL Central,149,570,619,140,90,30,1,19,55,70,38,0,132,6,5,0,13,2,0,0.246
Yainer Diaz,Houston,Astros,AL West,148,585,619,175,127,29,3,16,70,84,24,1,107,2,8,0,22,2,0,0.299
Brent Rooker,Sacramento,Athletics,AL West,145,546,614,160,93,26,2,39,82,112,59,4,177,5,4,0,5,11,3,0.293
George Springer,Toronto,Blue Jays,AL East,145,545,614,120,79,19,3,19,74,56,60,0,115,6,2,0,16,16,1,0.22
Julio Rodríguez,Seattle,Mariners,AL West,143,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,10,24,5,0.273
Nolan Schanuel,"""Los Angeles""",Angels,AL West,147,519,607,130,98,19,0,13,62,54,68,0,103,9,7,3,14,10,1,0.25
Alec Bohm,Philadelphia,Phillies,NL East,143,554,606,155,94,44,2,15,62,97,40,2,86,6,6,0,18,5,2,0.28
Brenton Doyle,Colorado,Rockies,NL West,149,542,603,141,90,24,4,23,82,72,46,1,153,3,8,4,13,30,5,0.26
Orlando Arcia,Atlanta,Braves,NL East,157,551,602,120,79,24,0,17,50,46,41,1,128,2,7,1,16,2,0,0.218
Zach Neto,"""Los Angeles""",Angels,AL West,155,542,602,135,77,34,1,23,70,77,39,1,140,16,1,4,14,30,10,0.249
CJ Abrams,Washington,Nationals,NL East,138,541,602,133,78,29,6,20,79,65,40,3,128,16,4,1,4,31,12,0.246
Rafael Devers,Boston,Red Sox,AL East,138,525,601,143,76,34,5,28,87,83,67,14,147,3,6,0,13,3,0,0.272
Oneil Cruz,Pittsburgh,Pirates,NL Central,146,541,599,140,82,34,3,21,72,76,51,5,181,3,4,0,8,22,1,0.259
Alec Burleson,St. Louis,Cardinals,NL Central,152,547,595,147,106,20,0,21,71,78,35,0,76,4,6,1,8,9,4,0.269
Carlos Santana,Minnesota,Twins,AL Central,150,521,594,124,75,26,0,23,63,71,65,3,99,6,2,0,11,4,0,0.238
Jackson Merrill,San Diego,Padres,NL West,156,554,593,162,101,31,6,24,77,90,29,1,101,1,5,4,2,16,3,0.292
Dansby Swanson,Chicago,Cubs,NL Central,149,534,593,129,84,27,2,16,82,66,54,2,144,2,3,0,7,19,3,0.242
Josh Smith,Texas,Rangers,AL West,149,523,592,135,91,30,1,13,67,62,46,1,121,18,3,2,6,11,2,0.258
Seiya Suzuki,Chicago,Cubs,NL Central,132,512,585,145,91,27,6,21,74,73,63,3,160,6,4,0,6,16,6,0.283
Riley Greene,Detroit,Tigers,AL Central,137,512,584,134,77,27,6,24,82,74,64,3,156,5,2,0,2,4,2,0.262
Ketel Marte,Arizona,Diamondbacks,NL West,136,504,583,147,86,23,2,36,93,95,65,7,106,5,9,0,9,7,1,0.292
Jake Burger,Miami,Marlins,NL East,137,535,579,134,81,23,1,29,68,76,31,2,150,9,4,0,11,1,1,0.25
Jackson Chourio,Milwaukee,Brewers,NL Central,148,528,573,145,91,29,4,21,80,79,39,4,121,3,2,1,7,22,7,0.275
Ceddanne Rafaela,Boston,Red Sox,AL East,152,544,571,134,91,23,5,15,70,75,15,1,151,7,3,2,8,19,10,0.246
Bryson Stott,Philadelphia,Phillies,NL East,148,506,571,124,92,19,2,11,65,57,53,1,93,3,9,0,9,32,3,0.245
Cody Bellinger,Chicago,Cubs,NL Central,130,516,569,137,93,23,3,18,72,78,45,7,89,3,5,0,10,9,2,0.266
Michael Busch,Chicago,Cubs,NL Central,152,496,567,123,72,28,2,21,73,65,63,1,162,4,4,0,9,2,1,0.248
Matt Vierling,Detroit,Tigers,AL Central,144,518,567,133,84,28,5,16,80,57,41,1,121,3,5,0,9,6,1,0.257
Nathaniel Lowe,Texas,Rangers,AL West,140,486,565,129,96,16,1,16,62,69,71,1,125,4,4,0,9,2,0,0.265
Colton Cowser,Baltimore,Orioles,AL East,153,499,561,121,70,24,3,24,77,69,52,2,172,7,3,0,9,9,4,0.242
Wyatt Langford,Texas,Rangers,AL West,134,499,557,126,81,25,4,16,74,74,51,3,115,4,3,0,6,19,3,0.253
Colt Keith,Detroit,Tigers,AL Central,148,516,556,134,102,15,4,13,54,61,36,2,110,2,2,0,4,7,1,0.26
Vinnie Pasquantino,Kansas City,Royals,AL Central,131,496,554,130,79,30,2,19,64,97,40,1,71,4,13,1,12,1,0,0.262
Lourdes Gurriel Jr.,Arizona,Diamondbacks,NL West,133,513,553,143,101,22,2,18,72,75,29,1,101,6,5,0,16,7,1,0.279
Christian Walker,Arizona,Diamondbacks,NL West,130,479,552,120,68,26,0,26,72,84,55,4,133,10,8,0,12,2,2,0.251
Zack Gelof,Sacramento,Athletics,AL West,138,497,547,105,66,20,2,17,60,49,38,0,188,4,5,3,7,25,3,0.211
Will Smith,Los Angeles,Dodgers,NL West,128,476,544,118,72,24,2,20,77,75,51,6,105,9,8,0,8,1,1,0.248
Steven Kwan,Cleveland,Guardians,AL Central,122,480,540,140,107,16,3,14,83,44,53,0,51,5,0,2,5,12,5,0.292
Brendan Rodgers,Colorado,Rockies,NL West,135,501,539,134,91,29,1,13,67,54,31,1,132,4,2,1,12,1,0,0.267
Trea Turner,Philadelphia,Phillies,NL East,121,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,10,19,4,0.295
Jesús Sánchez,Miami,Marlins,NL East,149,489,537,123,79,25,1,18,60,64,41,2,140,4,2,1,12,16,2,0.252
Shea Langeliers,Sacramento,Athletics,AL West,137,482,534,108,59,18,2,29,58,80,41,2,145,5,6,0,15,4,2,0.224
Corey Seager,Texas,Rangers,AL West,123,475,533,132,81,21,0,30,68,74,53,11,96,3,2,0,8,1,1,0.278
Leody Taveras,Texas,Rangers,AL West,151,480,529,110,78,17,3,12,59,44,42,0,112,0,4,3,8,23,6,0.229
Luis García Jr.,Washington,Nationals,NL East,140,500,528,141,97,25,1,18,58,70,27,2,86,0,1,0,12,22,5,0.282
Sal Frelick,Milwaukee,Brewers,NL Central,145,475,524,123,95,22,4,2,66,32,39,0,78,4,1,2,8,18,3,0.259
Luis Arraez,San Diego,Padres,NL West,117,500,524,159,129,24,2,4,61,41,16,3,18,6,1,1,13,9,3,0.318
Logan O'Hoppe,"""Los Angeles""",Angels,AL West,136,479,522,117,79,17,1,20,64,56,33,0,155,8,1,1,7,2,3,0.244
Andrew Benintendi,Chicago,White Sox,AL Central,135,477,522,109,69,20,0,20,50,64,41,1,96,1,3,0,12,3,2,0.229
Jacob Young,Washington,Nationals,NL East,150,468,521,120,92,24,1,3,75,36,30,0,102,12,2,9,11,33,10,0.256
Heliot Ramos,San Francisco,Giants,NL West,121,475,518,128,80,23,3,22,54,72,37,2,135,2,4,0,12,6,1,0.269
Rhys Hoskins,Milwaukee,Brewers,NL Central,131,449,517,96,56,14,0,26,59,82,53,1,149,7,6,0,11,3,0,0.214
Mookie Betts,Los Angeles,Dodgers,NL West,116,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,10,16,2,0.289
Tyler Stephenson,Cincinnati,Reds,NL Central,138,457,515,118,72,26,1,19,69,66,48,2,117,8,2,0,9,1,0,0.258
Andrew McCutchen,Pittsburgh,Pirates,NL Central,120,448,515,104,65,18,1,20,66,50,58,1,133,7,2,0,9,3,2,0.232
Jake Meyers,Houston,Astros,AL West,148,461,513,101,65,20,3,13,51,61,35,0,117,10,4,3,17,11,3,0.219
Daulton Varsho,Toronto,Blue Jays,AL East,136,459,513,98,52,21,7,18,73,58,48,1,137,4,1,1,2,10,2,0.214
Joey Ortiz,Milwaukee,Brewers,NL Central,142,440,511,105,63,25,6,11,58,60,56,0,103,6,6,3,10,11,6,0.239
Ryan Mountcastle,Baltimore,Orioles,AL East,124,473,507,128,83,30,2,13,54,63,27,0,114,1,6,0,13,3,0,0.271
Gavin Sheets,Chicago,White Sox,AL Central,139,451,501,105,70,24,1,10,35,45,43,2,106,4,3,0,6,2,2,0.233
Cedric Mullins,Baltimore,Orioles,AL East,147,444,499,104,67,16,3,18,69,54,41,0,98,5,2,2,1,32,6,0.234
Charlie Blackmon,Colorado,Rockies,NL West,124,449,499,115,74,24,5,12,59,52,43,2,86,6,1,0,4,6,2,0.256
Jake McCarthy,Arizona,Diamondbacks,NL West,142,442,495,126,98,13,7,8,66,56,31,1,78,14,3,5,4,25,6,0.285
J.D. Martinez,New York,Mets,NL East,120,434,495,102,61,24,1,16,46,69,49,0,141,6,2,0,17,0,0,0.235
Ryan O'Hearn,Baltimore,Orioles,AL East,142,443,494,117,78,21,3,15,60,59,46,2,69,2,3,0,7,3,1,0.264
Jonah Heim,Texas,Rangers,AL West,131,459,491,101,75,12,1,13,45,59,26,0,90,4,2,0,13,1,1,0.22
Michael Conforto,San Francisco,Giants,NL West,130,438,488,104,54,27,3,20,56,66,42,1,118,5,3,0,16,0,1,0.237
Gavin Lux,Los Angeles,Dodgers,NL West,139,439,487,110,74,24,2,10,59,50,44,0,110,2,2,0,8,5,2,0.251
Connor Wong,Boston,Red Sox,AL East,126,447,487,125,87,24,1,13,54,52,28,1,114,9,2,1,7,8,7,0.28
Keibert Ruiz,Washington,Nationals,NL East,127,459,485,105,71,21,0,13,46,57,16,0,54,5,5,0,13,3,1,0.229
José Caballero,Tampa Bay,Rays,AL East,139,441,483,100,66,24,1,9,53,44,27,1,133,9,3,3,6,44,16,0.227
Josh Rojas,Seattle,Mariners,AL West,143,422,476,95,66,19,2,8,48,31,46,1,108,3,2,1,6,10,4,0.225
Brandon Marsh,Philadelphia,Phillies,NL East,135,418,476,104,68,17,3,16,55,60,50,0,154,2,5,1,2,19,3,0.249
Mike Yastrzemski,San Francisco,Giants,NL West,140,428,474,99,56,16,9,18,60,57,38,1,124,6,1,1,5,3,2,0.231
Tyler O'Neill,Boston,Red Sox,AL East,113,411,473,99,50,18,0,31,74,61,53,5,159,7,2,0,13,4,0,0.241
Jeff McNeil,New York,Mets,NL East,129,424,472,101,63,26,0,12,57,44,35,1,68,9,3,1,6,5,1,0.238
Ha-Seong Kim,San Diego,Padres,NL West,121,403,470,94,64,16,3,11,60,47,58,4,77,2,3,4,8,22,5,0.233
Michael Harris II,Atlanta,Braves,NL East,110,440,470,116,83,14,3,16,58,48,23,1,94,4,3,0,6,10,6,0.264
Jorge Polanco,Seattle,Mariners,AL West,118,417,469,89,62,11,0,16,43,45,46,3,137,4,2,0,16,4,2,0.213
Austin Riley,Atlanta,Braves,NL East,110,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,6,0,0,0.256
Ryan Jeffers,Minnesota,Twins,AL Central,122,412,465,93,50,22,0,21,56,64,32,0,94,14,6,1,9,3,0,0.226
Jeimer Candelario,Cincinnati,Reds,NL Central,112,427,463,96,51,23,2,20,47,56,27,1,114,6,3,0,7,4,3,0.225
Xander Bogaerts,San Diego,Padres,NL West,111,428,463,113,86,15,1,11,50,44,28,0,79,1,6,0,13,13,3,0.264
Max Schuemann,Sacramento,Athletics,AL West,133,396,459,87,66,14,0,7,55,34,47,0,119,7,4,5,8,14,1,0.22
Giancarlo Stanton,New York,Yankees,AL East,114,417,459,97,50,20,0,27,49,72,38,2,143,2,2,0,17,0,0,0.233
Michael Toglia,Colorado,Rockies,NL West,116,399,458,87,45,14,3,25,62,55,54,2,147,1,3,0,7,10,1,0.218
Luke Raley,Seattle,Mariners,AL West,137,404,455,98,55,19,2,22,58,58,27,0,135,20,2,2,2,11,2,0.243
Davis Schneider,Toronto,Blue Jays,AL East,135,397,454,76,43,19,1,13,48,46,47,0,144,5,5,0,2,6,0,0.191
Mark Vientos,New York,Mets,NL East,111,413,454,110,61,22,0,27,58,71,33,0,135,3,5,0,6,0,0,0.266
Bryan De La Cruz,Miami,Marlins,NL East,105,424,454,104,67,19,0,18,44,51,25,1,118,2,2,0,8,3,1,0.245
Ernie Clement,Toronto,Blue Jays,AL East,139,434,452,114,78,21,3,12,48,51,11,1,41,3,2,2,11,12,3,0.263
MJ Melendez,Kansas City,Royals,AL Central,135,412,451,85,42,23,3,17,44,44,35,1,113,3,0,0,3,4,4,0.206
Jo Adell,"""Los Angeles""",Angels,AL West,130,405,451,84,47,15,2,20,54,62,35,1,126,7,3,0,9,15,10,0.207
Lawrence Butler,Sacramento,Athletics,AL West,125,412,451,108,60,24,2,22,63,57,35,0,108,0,4,0,8,18,0,0.262
J.P. Crawford,Seattle,Mariners,AL West,105,392,451,79,52,16,2,9,55,37,52,0,102,6,1,0,4,5,0,0.202
Joc Pederson,Arizona,Diamondbacks,NL West,132,367,449,101,60,17,1,23,62,64,55,2,105,18,3,1,5,7,4,0.275
Jarred Kelenic,Atlanta,Braves,NL East,131,412,449,95,60,18,2,15,49,45,32,1,133,1,3,1,5,7,2,0.231
Jose Siri,Tampa Bay,Rays,AL East,130,402,448,75,40,16,1,18,50,47,31,0,170,7,4,2,5,14,7,0.187
Patrick Bailey,San Francisco,Giants,NL West,121,401,448,94,69,16,1,8,46,46,39,0,100,0,7,1,10,4,0,0.234
Wilyer Abreu,Boston,Red Sox,AL East,132,399,447,101,51,33,2,15,59,58,40,0,125,3,5,0,7,8,3,0.253
Jordan Westburg,Baltimore,Orioles,AL East,107,416,447,110,61,26,5,18,57,63,22,0,97,7,1,1,5,6,3,0.264
Jared Triolo,Pittsburgh,Pirates,NL Central,125,394,446,85,65,10,1,9,41,46,42,0,118,5,5,0,5,8,1,0.216
Nicky Lopez,Chicago,White Sox,AL Central,124,398,445,96,80,12,3,1,40,21,37,0,67,4,0,6,3,5,7,0.241
Andy Pages,Los Angeles,Dodgers,NL West,116,403,443,100,63,23,1,13,65,46,29,0,108,6,4,0,8,1,2,0.248
Brayan Rocchio,Cleveland,Guardians,AL Central,143,383,442,79,53,18,0,8,50,36,44,1,90,8,5,2,11,10,6,0.206
Dylan Moore,Seattle,Mariners,AL West,135,368,441,74,37,23,4,10,53,42,53,1,123,14,5,1,8,32,6,0.201
Josh Bell,Miami,Marlins,NL East,104,398,441,95,62,18,1,14,38,49,34,1,88,5,3,0,13,0,0,0.239
Fernando Tatis Jr.,San Diego,Padres,NL West,102,398,438,110,67,21,1,21,64,49,32,0,96,7,1,0,8,11,3,0.276
Harrison Bader,New York,Mets,NL East,143,402,437,95,64,19,0,12,57,51,21,1,95,8,6,0,6,17,8,0.236
Ozzie Albies,Atlanta,Braves,NL East,99,399,435,100,60,29,1,10,52,53,27,0,65,5,4,0,6,8,1,0.251
Blake Perkins,Milwaukee,Brewers,NL Central,121,383,434,92,71,13,2,6,54,43,42,1,108,3,6,0,3,23,5,0.24
Otto Lopez,Miami,Marlins,NL East,117,403,434,109,79,23,1,6,49,39,25,0,75,1,2,2,13,20,4,0.27
Mitch Garver,Seattle,Mariners,AL West,114,367,430,63,31,17,0,15,37,51,53,0,133,7,3,0,9,0,0,0.172
Jazz Chisholm Jr.,Miami,Marlins,NL East,101,386,430,96,65,14,4,13,46,50,39,5,107,4,1,0,4,22,8,0.249
Jose Miranda,Minnesota,Twins,AL Central,121,401,429,114,73,28,4,9,44,49,18,1,66,6,4,0,13,2,2,0.284
Isaac Paredes,Tampa Bay,Rays,AL East,101,363,429,89,53,19,1,16,41,55,52,2,68,12,2,0,13,0,1,0.245
Mauricio Dubón,Houston,Astros,AL West,137,402,428,108,79,25,0,4,45,47,16,0,55,2,5,3,6,3,2,0.269
Kyle Isbel,Kansas City,Royals,AL Central,136,384,426,88,59,13,8,8,62,42,27,0,88,5,2,8,4,11,2,0.229
Wenceel Pérez,Detroit,Tigers,AL Central,112,389,425,94,63,16,6,9,51,37,32,0,92,1,1,2,5,9,5,0.242
Brandon Lowe,Tampa Bay,Rays,AL East,107,385,425,94,51,19,3,21,56,58,33,2,112,5,2,0,7,5,1,0.244
Luis Robert Jr.,Chicago,White Sox,AL Central,100,393,425,88,55,19,0,14,47,35,28,2,141,2,1,0,8,23,6,0.224
Hunter Renfroe,Kansas City,Royals,AL Central,120,385,424,88,55,18,0,15,44,52,36,0,84,2,1,0,10,1,1,0.229
Mitch Haniger,Seattle,Mariners,AL West,121,380,423,79,55,12,0,12,42,44,40,0,126,2,1,0,10,0,0,0.208
Rowdy Tellez,Pittsburgh,Pirates,NL Central,132,383,421,93,62,18,0,13,38,56,31,0,89,2,5,0,12,1,0,0.243
Masataka Yoshida,Boston,Red Sox,AL East,108,378,421,106,75,21,0,10,45,56,27,0,52,14,2,0,6,2,0,0.28
Christopher Morel,Chicago,Cubs,NL Central,103,362,421,72,46,7,1,18,43,51,47,2,103,8,4,0,11,7,5,0.199
Mickey Moniak,"""Los Angeles""",Angels,AL West,124,392,418,86,53,17,2,14,48,49,21,0,114,4,1,0,3,8,4,0.219
Connor Joe,Pittsburgh,Pirates,NL Central,123,364,416,83,51,22,1,9,49,36,44,1,91,6,2,0,7,2,2,0.228
Austin Wells,New York,Yankees,AL East,115,354,414,81,49,18,1,13,42,55,47,0,87,5,7,1,9,1,2,0.229
J.T. Realmuto,Philadelphia,Phillies,NL East,99,380,413,101,68,18,1,14,50,47,27,1,102,5,1,0,7,2,2,0.266
Pete Crow-Armstrong,Chicago,Cubs,NL Central,123,372,410,88,59,13,6,10,46,47,21,2,98,6,3,8,4,27,3,0.237
Randy Arozarena,Tampa Bay,Rays,AL East,100,350,409,74,40,19,0,15,45,37,45,0,101,11,3,0,3,16,7,0.211
Jon Singleton,Houston,Astros,AL West,119,355,405,83,56,13,1,13,46,42,47,0,111,0,3,0,2,0,0,0.234
Lars Nootbaar,St. Louis,Cardinals,NL Central,109,348,405,85,52,18,3,12,39,45,52,2,79,1,3,1,10,7,3,0.244
Nolan Gorman,St. Louis,Cardinals,NL Central,107,365,402,74,40,15,0,19,42,50,34,1,151,1,2,0,2,6,1,0.203
LaMonte Wade Jr.,San Francisco,Giants,NL West,117,331,401,86,62,16,0,8,45,34,62,5,90,4,3,1,2,2,1,0.26
Seth Brown,Sacramento,Athletics,AL West,124,372,400,86,60,11,1,14,32,44,25,0,112,2,1,0,7,4,2,0.231
Trevor Larnach,Minnesota,Twins,AL Central,112,355,400,92,60,17,0,15,59,52,40,1,89,3,2,0,12,4,1,0.259
Max Kepler,Minnesota,Twins,AL Central,105,368,399,93,63,21,1,8,43,42,22,0,80,5,3,0,3,1,0,0.253
Ke'Bryan Hayes,Pittsburgh,Pirates,NL Central,96,365,396,85,72,9,0,4,38,25,23,1,75,4,4,0,12,11,2,0.233
Korey Lee,Chicago,White Sox,AL Central,125,377,394,79,52,14,1,12,36,37,17,0,122,0,0,0,12,6,3,0.21
Enrique Hernández,Los Angeles,Dodgers,NL West,126,362,393,83,55,16,0,12,44,42,27,0,77,0,3,1,13,0,0,0.229
Jorge Soler,San Francisco,Giants,NL West,93,341,392,82,46,23,1,12,57,40,44,0,97,3,3,0,9,1,0,0.24
David Fry,Cleveland,Guardians,AL Central,122,335,392,88,55,18,1,14,44,51,42,4,84,9,4,0,13,4,1,0.263
Santiago Espinal,Cincinnati,Reds,NL Central,118,357,391,88,67,12,0,9,32,45,24,1,54,2,4,4,7,11,1,0.246
Bo Naylor,Cleveland,Guardians,AL Central,123,354,389,71,46,10,2,13,39,39,29,1,122,2,2,2,3,6,3,0.201
Geraldo Perdomo,Arizona,Diamondbacks,NL West,98,337,388,92,66,21,2,3,61,37,36,0,58,3,5,7,5,9,1,0.273
Will Benson,Cincinnati,Reds,NL Central,128,343,388,64,29,19,2,14,41,43,40,0,154,2,2,1,3,16,7,0.187
Byron Buxton,Minnesota,Twins,AL Central,102,355,388,99,51,27,3,18,62,56,20,1,99,11,2,0,3,7,2,0.279
Nick Gonzales,Pittsburgh,Pirates,NL Central,94,359,387,97,68,19,3,7,42,49,18,1,74,5,4,1,8,5,3,0.27
Josh Lowe,Tampa Bay,Rays,AL East,106,353,387,85,54,19,2,10,37,34,32,4,123,0,2,0,2,25,1,0.241
Alejandro Kirk,Toronto,Blue Jays,AL East,103,340,386,86,61,19,1,5,23,54,35,1,51,2,9,0,11,0,0,0.253
